,movie_title,year,place,star_cast,rating,vote,link
0,The Shawshank Redemption,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.239908741687856,,/title/tt0111161/
1,The Godfather,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.160899683789744,,/title/tt0068646/
2,The Dark Knight,2008,3,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.992888169653236,,/title/tt0468569/
3,The Godfather: Part II,1974,4,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.990098499719794,,/title/tt0071562/
4,12 Angry Men,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9504423859778,,/title/tt0050083/
5,Schindler's List,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.939847285099034,,/title/tt0108052/
6,The Lord of the Rings: The Return of the King,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.927101813788601,,/title/tt0167260/
7,Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.859147662690518,,/title/tt0110912/
8,The Lord of the Rings: The Fellowship of the Ring,2001,9,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811322811319815,,/title/tt0120737/
9," The Good, the Bad and the Ugly",1966,1,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.802569515028138,,/title/tt0060196/
10,Forrest Gump,1994,11,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.776378232040429,,/title/tt0109830/
11,Fight Club,1999,12,"David Fincher (dir.), Brad Pitt, Edward Norton",8.760155038702221,,/title/tt0137523/
12,Inception,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.743817431747317,,/title/tt1375666/
13,The Lord of the Rings: The Two Towers,2002,14,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7354176361182,,/title/tt0167261/
14,Star Wars: Episode V - The Empire Strikes Back,1980,15,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.710002620876939,,/title/tt0080684/
